attestation_file,certificate,reportingStart,time_region,reportingStartTimezoneOffset,reportingEnd,reportingEndTimezoneOffset,sellerName,sellerAddress,country,region,volume_Wh,generatorName,productType,energySource,generationStart,generationStartTimezoneOffset,generationEnd,generationEndTimezoneOffset
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2020-09-01,ET,,2020-09-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Brook View Dairy 1,GREEN-E,BIOGAS,2020-09-01,,2020-09-30,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2020-10-01,ET,,2020-10-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,"Milford Raman Solar, LLC",GREEN-E,SOLAR,2020-10-01,,2020-10-31,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2020-11-01,ET,,2020-11-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Rosewater Wind Project,GREEN-E,WIND,2020-11-01,,2020-11-30,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2020-12-01,ET,,2020-12-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Rosewater Wind Project,GREEN-E,WIND,2020-12-01,,2020-12-31,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-01-01,ET,,2021-01-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,2,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-01-01,,2021-01-31,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-02-01,ET,,2021-02-28,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-02-01,,2021-02-28,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-03-01,ET,,2021-03-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,"1AU, LLC",GREEN-E,SOLAR,2021-03-01,,2021-03-31,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-04-01,ET,,2021-04-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,2,Jordan Creek Wind Farm,GREEN-E,WIND,2021-04-01,,2021-04-30,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-05-01,ET,,2021-05-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-05-01,,2021-05-31,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-06-01,ET,,2021-06-30,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,2,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-06-01,,2021-06-30,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-07-01,ET,,2021-07-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Rosewater Wind Project,GREEN-E,WIND,2021-07-01,,2021-07-31,
US_GreenE_15MWh_Jan_to_August_2021.pdf,,2021-08-01,ET,,2021-08-31,,"3Degrees Group, Inc",235 Montgomery St Suite 320 CA94104 San Francisco US,US,RFC,1,Big Turtle Wind Farm Two,GREEN-E,WIND,2021-08-01,,2021-08-31,