"name","country_name","location"
"f01152","CN","CN-BJ"
"f01155","CN","CN-SH"
"f01241","CN","CN-XJ"
"f01272","CN","CN-JS"
"f01279","CN","CN-SC"
"f01280","CN","CN-JS"
"f01287","CN","CN-ZJ"
"f01289","CN","CN-ZJ"
"f01314","CN","CN-ZJ"
"f01782","CN","CN-SH"
"f02299","CN","CN-BJ"
"f02381","CN","CN-GD"
"f02399","CN","CN-SH"
"f02405","CN","CN-GD"
"f02416","CN","CN-GD"
"f02417","CN","CN-HE"
"f02419","CN","CN-SH"
"f02422","CN","CN-SN"
"f02492","CN","HK"
"f02625","CN","CN-SH"
"f02723","CN","CN-AH"
"f02725","CN","HK"
"f02838","CN","CN-SC"
"f03134","CN","CN-TJ"
"f03144","CN","HK"
"f03249","CN","CN-GD"
"f03328","CN","CN-HA"
"f03345","CN","CN-FJ"
"f03358","CN","CN-NM"
"f03363","CN","CN-NM"
"f03364","CN","CN-NM"
"f03482","CN","CN-JS"
"f04443","CN","CN-SH"
"f05664","CN","HK"
"f07945","CN","CN-GD"
"f07969","CN","CN-ZJ"
"f07998","CN","CN-HB"
"f08019","CN","CN-SD"
"f08094","CN","CN-GD"
"f08103","CN","CN-GD"
"f08148","CN","HK"
"f08157","CN","CN-BJ"
"f08197","CN","CN-GD"
"f08242","CN","HK"
"f08264","CN","CN-JS"
"f09002","CN","CN-SN"
"f09589","CN","CN-HN"
"f09620","CN","CN-SD"
"f09675","CN","HK"
"f09693","CN","CN-XJ"
"f010247","CN","CN-SD"
"f010399","CN","CN-GD"
"f010400","CN","CN-LN"
"f010405","CN","CN-GD"
"f010507","CN","CN-ZJ"
"f010523","CN","CN-BJ"
"f010528","CN","CN-CQ"
"f014251","CN","CN-JS"
"f014394","CN","CN-JS"
"f014522","CN","CN-SH"
"f014569","CN","CN-JS"
"f015233","CN","CN-JS"
"f015685","CN","CN-SH"
"f015885","CN","CN-ZJ"
"f015897","CN","HK"
"f016276","CN","CN-BJ"
"f017665","CN","CN-LN"
"f019002","CN","CN-FJ"
"f019240","CN","CN-BJ"
"f019362","CN","CN-HB"
"f019638","CN","CN-NM"
"f020331","CN","CN-XX"
"f020398","CN","CN-GD"
"f020436","CN","CN-BJ"
"f020523","CN","CN-JS"
"f020742","CN","CN-SH"
"f021444","CN","CN-SH"
"f021525","CN","CN-GD"
"f021532","CN","CN-SH"
"f021536","CN","CN-GD"
"f021961","CN","CN-FJ"
"f022111","CN","CN-FJ"
"f022227","CN","CN-JS"
"f022289","CN","CN-SC"
"f022308","CN","CN-AH"
"f022399","CN","CN-BJ"
"f022566","CN","CN-XX"
"f022687","CN","CN-SC"
"f022748","CN","CN-HA"
"f022832","CN","CN-BJ"
"f022853","CN","CN-FJ"
"f023152","CN","CN-SD"
"f023179","CN","CN-XX"
"f023198","CN","CN-SN"
"f023200","CN","CN-SH"
"f023462","CN","CN-ZJ"
"f023534","CN","CN-ZJ"
"f023565","CN","CN-JX"
"f023660","CN","CN-JX"
"f023662","CN","CN-JX"
"f023678","CN","CN-ZJ"
"f023853","CN","CN-JX"
"f023854","CN","CN-JX"
"f023855","CN","CN-JX"
"f023858","CN","CN-JX"
"f023859","CN","CN-JX"
"f023861","CN","CN-JX"
"f023868","CN","CN-JX"
"f023869","CN","CN-JX"
"f023870","CN","CN-JX"
"f023871","CN","CN-JX"
"f023876","CN","CN-JX"
"f023928","CN","CN-JX"
"f023977","CN","CN-JX"
"f023978","CN","CN-JX"
"f023980","CN","CN-JX"
"f023981","CN","CN-JX"
"f023982","CN","CN-ZJ"
"f023983","CN","CN-ZJ"
"f023984","CN","CN-ZJ"
"f023985","CN","CN-ZJ"
"f024006","CN","CN-JX"
"f024007","CN","CN-JX"
"f024008","CN","CN-JX"
"f024012","CN","CN-JX"
"f024013","CN","CN-JX"
"f024014","CN","CN-JX"
"f024015","CN","CN-XJ"
"f024066","CN","CN-SC"
"f024136","CN","CN-JX"
"f024146","CN","CN-JX"
"f024147","CN","CN-JX"
"f024148","CN","CN-JX"
"f024182","CN","HK"
"f024468","CN","CN-GD"
"f030125","CN","CN-JS"
"f030384","CN","CN-GD"
"f032888","CN","CN-SD"
"f034047","CN","CN-ZJ"
"f034567","CN","CN-GD"
"f034581","CN","CN-GD"
"f034592","CN","CN-GD"
"f034658","CN","CN-GD"
"f034707","CN","CN-SD"
"f039515","CN","CN-CQ"
"f039800","CN","CN-SC"
"f040218","CN","CN-JS"
"f040332","CN","CN-GD"
"f043929","CN","CN-BJ"
"f044315","CN","CN-ZJ"
"f045505","CN","CN-NM"
"f047666","CN","CN-HL"
"f047843","CN","CN-FJ"
"f048135","CN","CN-CQ"
"f048968","CN","CN-SC"
"f050022","CN","CN-SH"
"f052447","CN","CN-XJ"
"f053173","CN","CN-GD"
"f054414","CN","CN-FJ"
"f054418","CN","CN-FJ"
"f054666","CN","CN-HN"
"f056226","CN","CN-GD"
"f056573","CN","CN-SC"
"f056611","CN","CN-XJ"
"f057070","CN","CN-AH"
"f057466","CN","CN-GD"
"f057618","CN","CN-FJ"
"f058349","CN","CN-GD"
"f059788","CN","CN-GD"
"f060072","CN","CN-CQ"
"f061158","CN","CN-HA"
"f061407","CN","CN-GD"
"f062260","CN","CN-GD"
"f063628","CN","CN-AH"
"f065200","CN","CN-SC"
"f066104","CN","CN-XJ"
"f066270","CN","CN-GD"
"f067375","CN","CN-XX"
"f068096","CN","CN-SC"
"f068528","CN","CN-SH"
"f073552","CN","CN-XJ"
"f078465","CN","CN-SN"
"f079007","CN","CN-SD"
"f079197","CN","CN-XJ"
"f079370","CN","CN-FJ"
"f079426","CN","CN-SD"
"f079815","CN","CN-ZJ"
"f082000","CN","CN-XX"
"f082095","CN","CN-SC"
"f082452","CN","CN-GD"
"f082617","CN","CN-FJ"
"f082635","CN","CN-SC"
"f083065","CN","CN-ZJ"
"f083638","CN","CN-CQ"
"f085437","CN","CN-ZJ"
"f085899","CN","CN-JS"
"f086028","CN","CN-JS"
"f086151","CN","CN-GD"
"f087965","CN","CN-JS"
"f090387","CN","CN-FJ"
"f092514","CN","CN-XJ"
"f093115","CN","CN-SH"
"f093658","CN","CN-XX"
"f094374","CN","CN-ZJ"
"f094765","CN","CN-TJ"
"f095334","CN","CN-GZ"
"f096974","CN","CN-CQ"
"f097370","CN","CN-HA"
"f097569","CN","CN-GD"
"f097687","CN","CN-JS"
"f097840","CN","CN-SC"
"f099239","CN","HK"
"f099369","CN","CN-ZJ"
"f099387","CN","CN-HE"
"f099705","CN","CN-SD"
"f0101018","CN","CN-HA"
"f0102358","CN","CN-GZ"
"f0102374","CN","CN-XJ"
"f0102376","CN","CN-XJ"
"f0102641","CN","CN-GD"
"f0103396","CN","CN-ZJ"
"f0103710","CN","CN-GZ"
"f0103851","CN","CN-XJ"
"f0107753","CN","CN-SH"
"f0108672","CN","CN-XJ"
"f0109606","CN","CN-FJ"
"f0109743","CN","CN-JS"
"f0109901","CN","CN-LN"
"f0110110","CN","CN-HA"
"f0110133","CN","CN-ZJ"
"f0110442","CN","CN-FJ"
"f0110936","CN","CN-FJ"
"f0110944","CN","CN-GD"
"f0111174","CN","CN-GD"
"f0112087","CN","CN-FJ"
"f0113008","CN","HK"
"f0114338","CN","CN-GD"
"f0114868","CN","CN-XX"
"f0116628","CN","CN-SH"
"f0117450","CN","CN-SD"
"f0118360","CN","CN-ZJ"
"f0118917","CN","CN-ZJ"
"f0119997","CN","CN-SH"
"f0120983","CN","CN-FJ"
"f0121533","CN","CN-ZJ"
"f0121602","CN","HK"
"f0121768","CN","CN-GD"
"f0123522","CN","CN-HL"
"f0123931","CN","CN-FJ"
"f0124126","CN","CN-SD"
"f0124944","CN","CN-HA"
"f0128381","CN","CN-BJ"
"f0128788","CN","CN-GD"
"f0129403","CN","CN-GD"
"f0130912","CN","HK"
"f0131419","CN","CN-BJ"
"f0133379","CN","CN-XX"
"f0133886","CN","CN-GD"
"f0134286","CN","CN-SC"
"f0135934","CN","CN-XX"
"f0136014","CN","CN-JS"
"f0136033","CN","CN-GD"
"f0137019","CN","CN-BJ"
"f0141446","CN","CN-JS"
"f0141614","CN","CN-FJ"
"f0143110","CN","CN-XX"
"f0144194","CN","CN-XX"
"f0144313","CN","CN-SD"
"f0145313","CN","CN-XJ"
"f0146393","CN","CN-GD"
"f0146751","CN","CN-JS"
"f0148627","CN","CN-HN"
"f0149026","CN","CN-JS"
"f0149132","CN","CN-SH"
"f0151281","CN","CN-XJ"
"f0151371","CN","CN-JS"
"f0151487","CN","CN-SN"
"f0151692","CN","CN-XJ"
"f0152854","CN","CN-GD"
"f0152943","CN","CN-SD"
"f0153176","CN","CN-FJ"
"f0153804","CN","CN-GD"
"f0154238","CN","CN-FJ"
"f0155258","CN","CN-SH"
"f0155687","CN","CN-GD"
"f0157941","CN","CN-HN"
"f0158142","CN","CN-XJ"
"f0158666","CN","CN-GD"
"f0158950","CN","CN-JS"
"f0158993","CN","CN-FJ"
"f0159380","CN","CN-NM"
"f0159649","CN","CN-CQ"
"f0159961","CN","CN-CQ"
"f0160137","CN","CN-SH"
"f0161916","CN","CN-JS"
"f0162183","CN","CN-SN"
"f0164291","CN","CN-FJ"
"f0164326","CN","CN-BJ"
"f0167137","CN","CN-ZJ"
"f0169153","CN","CN-SC"
"f0172300","CN","CN-GD"
"f0199223","CN","CN-SC"
"f0215370","CN","CN-GD"
"f0216138","CN","CN-GD"
"f0216849","CN","CN-FJ"
"f0217771","CN","CN-GD"
"f0218559","CN","CN-CQ"
"f0219106","CN","CN-ZJ"
"f0220004","CN","CN-XJ"
"f0222674","CN","CN-GX"
"f0223663","CN","CN-BJ"
"f0224984","CN","CN-HB"
"f0227567","CN","CN-FJ"
"f0228232","CN","CN-HA"
"f0231112","CN","CN-SC"
"f0232459","CN","CN-ZJ"
"f0232650","CN","CN-GD"
"f0238968","CN","CN-SD"
"f0239688","CN","CN-BJ"
"f0240035","CN","CN-ZJ"
"f0240392","CN","CN-XX"
"f0241764","CN","CN-SC"
"f0241858","CN","CN-JX"
"f0391212","CN","CN-GD"
"f0391214","CN","CN-GD"
"f0392785","CN","CN-XJ"
"f0396188","CN","CN-XJ"
"f0396846","CN","CN-GD"
"f0397083","CN","CN-BJ"
"f0397802","CN","CN-SC"
"f0397837","CN","CN-JX"
"f0397855","CN","CN-XJ"
"f0398326","CN","CN-GD"
"f0399814","CN","CN-XX"
"f0400103","CN","HK"
"f0400307","CN","CN-SH"
"f0400644","CN","CN-NM"
"f0402431","CN","CN-ZJ"
"f0403050","CN","CN-XX"
"f0403177","CN","CN-GD"
"f0403858","CN","CN-GD"
"f0404193","CN","CN-GD"
"f0406475","CN","CN-SH"
"f0406478","CN","CN-JS"
"f0410023","CN","CN-JX"
"f0410242","CN","CN-GZ"
"f0410701","CN","CN-SH"
"f0413684","CN","CN-FJ"
"f0413801","CN","CN-FJ"
"f0417918","CN","CN-FJ"
"f0419945","CN","CN-ZJ"
"f0421858","CN","CN-XX"
"f0422229","CN","CN-NM"
"f0426933","CN","CN-XJ"
"f0427393","CN","CN-XJ"
"f0427989","CN","CN-CQ"
"f0427994","CN","CN-ZJ"
"f0432329","CN","CN-GZ"
"f0432345","CN","CN-GD"
"f0432382","CN","CN-GZ"
"f0432594","CN","CN-HA"
"f0433688","CN","CN-BJ"
"f0435140","CN","CN-JS"
"f0437246","CN","CN-ZJ"
"f0440919","CN","CN-NM"
"f0447181","CN","CN-SD"
"f0449296","CN","CN-FJ"
"f0452808","CN","CN-HA"
"f0456374","CN","CN-BJ"
"f0456740","CN","CN-XJ"
"f0456741","CN","CN-XJ"
"f0460078","CN","CN-SH"
"f0461752","CN","CN-XJ"
"f0465477","CN","CN-SD"
"f0469055","CN","HK"
"f0469168","CN","CN-FJ"
"f0471007","CN","CN-XJ"
"f0471691","CN","CN-FJ"
"f0478563","CN","CN-XX"
"f0485876","CN","CN-JL"
"f0492360","CN","CN-XX"
"f0492474","CN","CN-SN"
"f0494603","CN","CN-FJ"
"f0497031","CN","CN-JX"
"f0497636","CN","CN-HL"
"f0498868","CN","CN-JS"
"f0500878","CN","CN-BJ"
"f0503420","CN","CN-BJ"
"f0504985","CN","CN-JS"
"f0505593","CN","CN-BJ"
"f0506630","CN","CN-SD"
"f0508892","CN","CN-BJ"
"f0509062","CN","CN-BJ"
"f0511732","CN","CN-XJ"
"f0513685","CN","CN-HN"
"f0513878","CN","CN-GZ"
"f0518713","CN","CN-XX"
"f0518877","CN","CN-XJ"
"f0519331","CN","CN-HN"
"f0519333","CN","CN-XX"
"f0519376","CN","CN-HN"
"f0521273","CN","CN-GD"
"f0522078","CN","CN-ZJ"
"f0522099","CN","CN-JX"
"f0607157","CN","CN-GD"
"f0671368","CN","CN-XX"
"f0673613","CN","CN-FJ"
"f0676048","CN","CN-ZJ"
"f0678845","CN","CN-HA"
"f0680677","CN","CN-XX"
"f0682032","CN","CN-GD"
"f0685797","CN","CN-JX"
"f0687206","CN","CN-ZJ"
"f0690699","CN","CN-CQ"
"f0693131","CN","CN-GD"
"f0694881","CN","CN-ZJ"
"f0697249","CN","CN-GD"
"f0698688","CN","CN-HA"
"f0700033","CN","CN-XX"
"f0700999","CN","CN-SC"
"f0705704","CN","CN-XJ"
"f0706999","CN","CN-ZJ"
"f0709366","CN","CN-ZJ"
"f0715561","CN","CN-ZJ"
"f0717987","CN","CN-XX"
"f0718366","CN","CN-SH"
"f0718665","CN","CN-SC"
"f0723538","CN","CN-HE"
"f0723827","CN","CN-GZ"
"f0730266","CN","CN-CQ"
"f0731150","CN","CN-HN"
"f03000","CN","CN-SC"
"f010493","CN","CN-SH"
"f010498","CN","CN-GD"
"f010505","CN","CN-HB"
"f010513","CN","CN-CQ"
"f014386","CN","CN-SC"
"f017242","CN","CN-GD"
"f019099","CN","HK"
"f024016","CN","CN-XJ"
"f024081","CN","CN-JX"
"f024084","CN","CN-JX"
"f024085","CN","CN-JX"
"f024511","CN","CN-GD"
"f025017","CN","CN-AH"
"f025025","CN","CN-SD"
"f029401","CN","CN-XJ"
"f029665","CN","CN-LN"
"f030335","CN","CN-FJ"
"f033123","CN","CN-XJ"
"f035436","CN","CN-XX"
"f042540","CN","CN-XJ"
"f042558","CN","CN-XJ"
"f042635","CN","CN-XJ"
"f044160","CN","CN-GD"
"f047868","CN","CN-FJ"
"f054415","CN","CN-FJ"
"f054417","CN","CN-FJ"
"f054420","CN","CN-FJ"
"f054464","CN","CN-GZ"
"f056406","CN","CN-JS"
"f057614","CN","CN-XJ"
"f061740","CN","CN-XJ"
"f070044","CN","HK"
"f079618","CN","CN-BJ"
"f081985","CN","CN-SN"
"f081988","CN","CN-XX"
"f083542","CN","CN-GD"
"f087871","CN","CN-SN"
"f087896","CN","CN-SN"
"f089551","CN","CN-ZJ"
"f094614","CN","CN-XJ"
"f099949","CN","CN-SC"
"f0101403","CN","CN-SC"
"f0109040","CN","CN-FJ"
"f0109272","CN","CN-GD"
"f0111499","CN","CN-SC"
"f0112787","CN","CN-HN"
"f0114924","CN","CN-FJ"
"f0116211","CN","CN-SD"
"f0117146","CN","CN-BJ"
"f0121450","CN","CN-FJ"
"f0121771","CN","CN-GD"
"f0124036","CN","CN-JX"
"f0133833","CN","CN-XX"
"f0143928","CN","CN-JS"
"f0144615","CN","CN-GD"
"f0146301","CN","CN-GD"
"f0146875","CN","CN-XJ"
"f0147565","CN","CN-JS"
"f0151341","CN","CN-FJ"
"f0151453","CN","CN-FJ"
"f0151498","CN","CN-SD"
"f0220632","CN","HK"
"f0223316","CN","CN-SD"
"f0239678","CN","CN-BJ"
"f0417767","CN","CN-FJ"
"f0454186","CN","CN-HA"
"f0490501","CN","CN-FJ"
"f0652413","CN","CN-XX"
"f0652414","CN","CN-XX"
"f0168058","CN","CN-JS"
"f0225058","CN","HK"
"f0226324","CN","CN-GX"
"f0364957","CN","CN-YN"
"f0419804","CN","CN-XX"