Contract,Notes,beneficiary,redemption_purpose
20220501_ACT_PL_transaction_1_contract_1,Netherlands 1H21,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-803,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_2,Netherlands 2H21,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-804,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_3,Germany Q1 (9750),Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 795,The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 795. The bridging protocol used for tokenization is: ZeroLabs Renewable Energy Certificate Tokenization Protocol v1.0.0. The certificates will be created as tokens of type ERC1888 - Topic: “1”
20220501_ACT_PL_transaction_1_contract_4,Germany Q2 (8281),0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-805,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_5,Germany Q4 (7087),0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-806,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_6,France 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-807,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_7,Belgium 1H21,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-808,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_8,Belgium 2H21,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-809,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_9,UK 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-810,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_10,Norway 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-811,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_11,Denmark 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-812,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_12,Bulgaria 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-813,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_13,Poland 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-814,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_19,Japan 2021,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-815,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_20,Any USA 2020 (136),0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-796,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_21,MRO 2020,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-797,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_22,WECC 2020,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-798,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_23,Any USA 2021 (972),0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-799,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_24,MRO 1H21,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-800,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_25,WECC,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-801,ZL1.0.0-NWID246-ERC1888-Topic1
20220501_ACT_PL_transaction_1_contract_26,WECC,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900-802,ZL1.0.0-NWID246-ERC1888-Topic1